Embalse,Agua embalsada (08-04-2024):hm3,Variacion semana Anterior:hm3,Capacidad:hm3,Misma Semana (2023):hm3,Misma Semana (Med. 10 Años):hm3,Cuenca:,Provincia:,Municipio Presa:,Rio:,Tipo de Presa:,Año de construccion (Final):,Superficie:,Localizacion:,Abastecimiento:,Riego:,Electricidad:,Industrial:,Pesca:,Navegación:,Baño:,Pic-nic:,Restaurantes:,Pluviometros,Longitud,Latitud
las-fitas,7,1,9,4,4,Ebro,Huesca,VILLANUEVA DE SIGENA,BARRANCO CARNERARIO,Gravedad,2011,0.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,[],0,0
las-parras,4,0,5,4,1,Ebro,Teruel,Martin del Rio,,Gravedad,0,0.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,[],-0.920110,40.824795
las-torcas,2,1,7,2,4,Ebro,Zaragoza,TOSOS,HUERVA,Gravedad,1946,77.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Daroca', 'La Almunia de Doña Godina', 'Fonfría', 'Valmadrid', 'Muniesa']",-1.089449,41.293156
laverne,34,-1,38,30,20,Ebro,Zaragoza,EJEA DE LOS CABALLEROS,BARRANCO VITALE,Materiales sueltos núcleo arcilla,2010,220.26 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Sos del Rey Católico', 'Bardenas Reales', 'Ejea de los Caballeros', 'Castejon de Valdejasa', 'Zaragoza Aeropuerto']",-1.0528774732396,42.102578114718
lechago,7,0,18,8,2,,,,,,,0.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,[],0,0
llauset,15,0,17,7,9,Ebro,Huesca,MONTANUY,LLAUSET,Bóveda,1983,45.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Vall de Boí', 'Benasque', 'Cerler - Cogulla', 'Naut Aran, Arties', 'Bossost']",0.689821,42.582885
maidevera,9,0,20,10,14,Ebro,Zaragoza,ARANDA DE MONCAYO,ARANDA,Materiales sueltos núcleo arcilla,1983,134.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Ólvega', 'Almazul', 'Alhama de Aragon', 'Calatayud', 'La Almunia de Doña Godina']",-1.76308,41.578719
mansilla,62,1,68,61,58,Ebro,La Rioja,"MANSILLA DE LA SIERRA, VILLAVELAYO",NAJERILLA,Gravedad,1960,234.50 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Vinuesa, Quintanarejo', 'Palacios de la Sierra', 'Monterrubio de la Demanda', 'Valdezcaray', 'Anguiano']",-2.939583,42.151163
mediano,430,-1,435,220,321,Ebro,Huesca,"FUEVA, LA/MEDIANO",CINCA,Gravedad,1959,"1,722.00 ha",Ver Mapa,False,False,False,False,False,False,False,False,False,"['Benabarre', 'Bielsa', 'Ainsa', 'Seira', 'Capella']",0.181822,42.363871
mequinenza,1.354,83,1.373,979,1.245,Ebro,Zaragoza,MEQUINENZA,EBRO,Gravedad,1964,"7,540.00 ha",Ver Mapa,False,False,False,False,False,False,False,False,False,"['Alcañiz', 'Caspe', 'Ballobar', 'Fraga', 'La Pobla de Massaluca']",0.056348,41.312806
moneva,2,0,8,4,3,Ebro,Zaragoza,"SAMPER DEL SALZ, MONEVA",AGUASVIVAS,Gravedad,1929,75.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Fonfría', 'Valmadrid', 'Quinto', 'Muniesa', 'Montalbán']",-0.831774,41.166944
monteagudo,6,0,10,6,5,Ebro,Soria,MONTEAGUDO DE LAS VICARIAS,DERIVACIÓN DEL RÍO NAJIMA,Materiales sueltos homogenea,1982,123.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Lubia', 'Morón de Almazán', 'Arcos de Jalón', 'Almazul', 'Alhama de Aragon']",-2.187825369761,41.391167021226
montearagon,27,1,52,10,3,Ebro,Huesca,"HUESCA, LOPORZANO",FLUMEN,Arco Gravedad,2010,203.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Jaca', 'Sabiñánigo', 'Almudévar', 'Huesca Aeropuerto', 'Huesca']",-0.36220444457343,42.187833542228
nagore,5,0,5,5,1,Ebro,Navarra,Arce,Urrobi,Gravedad,0,0.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,[],-1.372371,42.852347
oliana,72,6,84,43,50,Ebro,Lleida,OLIANA Y PERAMOLA,SEGRE,Gravedad,1959,443.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"[""La Seu d'Urgell"", 'Tuixent', 'Coll de Nargó', 'Artesa de Segre', 'Port Ainè']",1.304069,42.108586
pajares,29,3,35,13,25,Ebro,La Rioja,LUMBRERAS,PIQUERAS,Materiales sueltos homogenea,1994,162.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Vinuesa, Quintanarejo', 'La Póveda de Soria', 'Soria', 'Anguiano', 'Enciso']",-2.6009968091414,42.08598385302
pena,9,0,18,14,14,Ebro,Teruel,VALDERROBRES,PENA,Gravedad,1930,149.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['La Pobla de Benifassà', 'Morella', 'Alcañiz', 'Valderrobres', 'Horta de Sant Joan']",0.132372,40.815677
puente-de-santolea,9,0,18,18,9,Ebro,Teruel,CASTELLOTE,GUADALOPE,Gravedad,2010,132.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,[],0,0
rialb,134,0,404,42,280,Ebro,Lleida,"BARONIA RIALB, TIURANA",SEGRE,Gravedad,2000,"1,505.00 ha",Ver Mapa,False,False,False,False,False,False,False,False,False,"['Coll de Nargó', 'Torà', 'Artesa de Segre', 'Llimiana', 'Granyanella']",1.195021,41.947426
ribarroja,177,1,210,203,200,Ebro,Tarragona,RIBA-ROJA D'EBRE,EBRO,Gravedad,1969,"2,029.00 ha",Ver Mapa,False,False,False,False,False,False,False,False,False,"['El Soleràs', 'Fraga', 'Horta de Sant Joan', 'La Pobla de Massaluca', 'Rasquera']",0.354137,41.253936
sallente,3,0,6,1,1,Ebro,Lleida,"TORRE DE CABDELLA, LA",FLAMISELL,Materiales sueltos P asfáltica,1985,29.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"[""Esterri d'Àneu"", 'Port Ainè', 'Torre de Cabdella', 'Vall de Boí', 'Naut Aran, Arties']",0.990969,42.501505
san-bartolome,5,0,6,3,2,Ebro,Zaragoza,EJEA DE LOS CABALLEROS,ARBA DE LUESTE,Materiales sueltos homogenea,1908,100.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Sos del Rey Católico', 'Cáseda', 'Bardenas Reales', 'Ejea de los Caballeros', 'Castejon de Valdejasa']",-1.151032,42.21749
san-lorenzo-mongay,9,0,10,9,5,Ebro,Lleida,CAMARASA,SEGRE,Gravedad y Materiales sueltos homogenea,1930,131.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Artesa de Segre', 'Llimiana', 'Os de Balaguer', 'Mollerussa', 'Lleida']",0.839004,41.858161
san-salvador,136,0,137,80,34,Ebro,Huesca,Binaced,,Gravedad,0,0.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,[],0.201319,41.784870
santa-ana,203,3,237,177,172,Ebro,Huesca,CASTILLONROY,NOGUERA RIBAGORZANA,Gravedad,1961,792.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Os de Balaguer', 'Mollerussa', 'Benabarre', 'Lleida', 'Tamarite de Litera']",0.588069,41.895673
santa-maria-belsue,6,2,14,1,2,Ebro,Huesca,NUENO,FLUMEN,Gravedad,1931,83.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Jaca', 'Jaca', 'Sabiñánigo', 'Huesca Aeropuerto', 'Huesca']",-0.3499,42.307919
santolea,2,0,5,2,29,Ebro,Teruel,CASTELLOTE,GUADALOPE,Gravedad,1932,380.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Andorra', 'Castellote', 'Morella', 'Castellfort', 'Calanda']",-0.329858,40.752036
sistema-aguas-limpias,6,0,18,6,3,Ebro,Huesca,,AGUAS LIMPIAS,,0,0.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Astún - La Raca', 'Sallent de Gállego - Formigal', 'Sallen de Gallego', 'Panticosa', 'Biescas']",-0.327251,42.789409
sistema-alto-caldares,4,0,18,4,4,Ebro,Huesca,,CALDARES,,0,0.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Sallen de Gallego', 'Panticosa', 'Biescas', 'Parador Ordesa', 'Torla - Ordesa']",-0.228267,42.780157
sistema-capdella,30,0,50,30,30,Ebro,Lleida,Torre de capdella ( Pallars Jussa,FLAMISELL,,0,0.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"[""Esterri d'Àneu"", 'Port Ainè', 'Torre de Cabdella', 'Vall de Boí', 'Naut Aran, Arties']",1.002063,42.509747
sistema-escarra,1,0,5,1,2,Ebro,Huesca,ESCARRILLA,ESCARRA,Materiales sueltos núcleo arcilla,1957,38.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Canfranc', 'Sallent de Gállego - Formigal', 'Sallen de Gallego', 'Panticosa', 'Biescas']",-0.359266,42.741607
sistema-lagos-espot,9,0,10,9,8,Ebro,Lleida,,ESPOT,,0,0.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"[""Esterri d'Àneu"", 'Port Ainè', 'Torre de Cabdella', 'Vall de Boí', 'Naut Aran, Arties']",1.084428,42.580689
sistema-valle-de-aran,9,1,22,7,9,Ebro,Lleida,Barrados,VALARTIES,,2000,0.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"[""Esterri d'Àneu"", 'Torre de Cabdella', 'Vall de Boí', 'Naut Aran, Arties', 'Bossost']",0.852857,42.634432
sobron,16,0,20,16,17,Ebro,Burgos,LANTARON Y BOZOO,EBRO,Gravedad,1961,280.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Briviesca', 'Medina de Pomar', 'Lalastra', 'Miranda de Ebro', 'Haro']",-3.181078,42.765013
terradets,31,-1,33,32,27,Ebro,Lleida,LLIMIANA,NOGUERA PALLARESA,Gravedad,1935,330.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Artesa de Segre', 'Talarn', 'Llimiana', 'Os de Balaguer', 'Sopeira']",0.890064,42.070943
terroba,1,0,8,1,0,Ebro,La Rioja,Terroba,Leza,Gravedad,0,0.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,[],-2.431464,42.265816
tremp-o-talarn,177,11,227,128,123,Ebro,Lleida,TALARN,NOGUERA PALLARESA,Gravedad,1916,927.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Port Ainè', 'Torre de Cabdella', 'Talarn', 'Llimiana', 'Sopeira']",0.95301,42.205451
ullivarri,127,-1,146,113,126,Ebro,Alava,ARRAZUA-UBARRUNDIA,ZADORRA,Contrafuertes,1957,"1,490.00 ha",Ver Mapa,False,False,False,False,False,False,False,False,False,"['Aramaio', 'Aretxabaleta', 'Abadiño', 'Agurain/Salvatierra', 'Vitoria Gasteiz Aeropuerto']",-2.575554,42.92448
urdalur,5,0,6,5,4,Ebro,Navarra,CIORDIA,ALZANIA,Hormigón Compactado,1994,30.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Segura - Lastala', 'Beasain', 'Ordizia', 'Legazpia', 'Agurain/Salvatierra']",-2.236876,42.915106
urdiceto,2,0,5,2,2,Ebro,Huesca,BIELSA,BARRANNCO DE URDICETO,Materiales sueltos P hormigón,1930,32.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Bielsa', 'Ainsa', 'Benasque', 'Cerler - Cogulla', 'Seira']",0.271397,42.661989
urrunaga,55,1,72,54,54,Ebro,Alava,LEGUTIANO/VILLA REAL,SANTA ENGRACIA,Contrafuertes,1957,785.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Aramaio', 'Aretxabaleta', 'Orozko', 'Abadiño', 'Vitoria Gasteiz Aeropuerto']",-2.65499,42.9797
vadiello,14,0,16,5,11,Ebro,Huesca,"LOPORZANO, SANTA EULALIA",GUATIZALEMA,Gravedad,1971,69.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Jaca', 'Sabiñánigo', 'Almudévar', 'Huesca Aeropuerto', 'Huesca']",-0.277823,42.249551
valdepatao,1,0,6,1,0,Ebro,Huesca,Candasnos,,Gravedad,0,0.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,[],0.054589,41.552554
yesa,427,8,447,268,360,Ebro,Navarra,YESA,ARAGON,Gravedad,1959,"2,089.00 ha",Ver Mapa,False,False,False,False,False,False,False,False,False,"['Bailo', 'Isaba/Izaba', 'Navascués/Nabaskoze', 'Sos del Rey Católico', 'Cáseda']",-1.101143,42.604234
aiguamoix,0,0,1,0,0,Ebro,Lleida,ALTO ARAN,AIGUA MOIX,Materiales sueltos P Lámina,1969,9.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"[""Esterri d'Àneu"", 'Torre de Cabdella', 'Vall de Boí', 'Naut Aran, Arties', 'Bossost']",0.9163284301757812,42.69158365441993
alba,0,0,5,0,0,Ebro,Burgos,VILLAFRANCA MONTES DE OCA,OCA,Gravedad,1995,29.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Monterrubio de la Demanda', 'Burgos Aeropuerto', 'Briviesca', 'Belorado', 'Valdezcaray']",-3.3157602745527,42.366338947336
aliaga,0,0,1,0,0,Ebro,Teruel,ALIAGA,GUADALOPE,Gravedad,1947,20.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Cedrillas', 'Muniesa', 'Montalbán', 'Andorra', 'Castellote']",-0.67941350494527,40.684733207737
almochuel,0,0,2,0,0,Ebro,Zaragoza,ALMOCHUEL,AGUASVIVAS (EN DERIVACION),Materiales sueltos núcleo arcilla,1914,22.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Valmadrid', 'Quinto', 'Muniesa', 'Hijar', 'Andorra']",-0.55161728345761,41.295025140082
alos,0,0,0,0,0,Ebro,Lleida,ALOS DE BALAGUER,SEGRE,Gravedad,1991,29.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Artesa de Segre', 'Talarn', 'Llimiana', 'Os de Balaguer', 'Mollerussa']",0.89386611369009,41.908120701703
amitges-de-ratera,0,0,1,0,0,Ebro,Lleida,ESPOT,ESPOT,Gravedad,1958,8.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"[""Esterri d'Àneu"", 'Port Ainè', 'Torre de Cabdella', 'Vall de Boí', 'Naut Aran, Arties']",0.9857355661903,42.601229053111
ardisa,0,0,3,0,0,Ebro,Zaragoza,"ARDISA, BISCARRUES",GALLEGO,Gravedad,1927,155.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Bailo', 'Ejea de los Caballeros', 'Castejon de Valdejasa', 'Almudévar', 'Huesca']",-0.75118075897338,42.187117386977
arguis,0,0,2,0,0,Ebro,Huesca,ARGUIS,ISUELA,Gravedad,1704,41.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Jaca', 'Jaca', 'Sabiñánigo', 'Huesca Aeropuerto', 'Huesca']",-0.42904011848004,42.307322533717
arriel-alto,0,0,0,0,0,Ebro,Huesca,SALLENT DE GALLEGO,LAGO ARRIEL,Gravedad,1956,18.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Astún - La Raca', 'Sallent de Gállego - Formigal', 'Sallen de Gallego', 'Panticosa', 'Biescas']",-0.3132022158565,42.840007259637
arrieta,0,0,1,0,0,Ebro,Burgos,CONDADO DE TREVIÑO,ARRIETA,Materiales sueltos núcleo arcilla,0,19.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Miranda de Ebro', 'Vitoria Gasteiz Aeropuerto', 'Haro', 'Labastida', 'Leza']",-2.7409433810571,42.752018456414
ayala,0,0,0,0,0,Ebro,Alava,ALEGRÍA-DULANTZI,ARROYO SERBIL,Materiales sueltos homogenea,0,2.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Legazpia', 'Aramaio', 'Aretxabaleta', 'Agurain/Salvatierra', 'Campezo/Kanpezu']",-2.5107192993164062,42.8584127398023
azlor,0,0,0,0,0,Ebro,Huesca,AZLOR,CLAMOR,Materiales sueltos núcleo arcilla,0,1.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Ainsa', 'Barbastro', 'Sariñena', 'Huesca Aeropuerto', 'Huesca']",-0.05471706390380859,42.11051263389235
azul,0,0,1,0,0,Ebro,Huesca,PANTICOSA,CALDARES,Gravedad,1958,5.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Sallent de Gállego - Formigal', 'Sallen de Gallego', 'Panticosa', 'Biescas', 'Torla - Ordesa']",-0.24106826583413,42.789215700823
azules,0,0,1,0,0,Ebro,Huesca,Panticosa,CALDARES,Gravedad,1961,0.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Sallent de Gállego - Formigal', 'Sallen de Gallego', 'Panticosa', 'Biescas', 'Torla - Ordesa']",-0.2420210838317871,42.788314860108045
bachimana-alto,0,0,7,0,0,Ebro,Huesca,PANTICOSA,ALTO CALDARES,Gravedad,1951,37.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Sallen de Gallego', 'Panticosa', 'Biescas', 'Parador Ordesa', 'Torla - Ordesa']",-0.22034710178273,42.787813766447
balaguer,0,0,1,0,0,Ebro,Lleida,OS DE BALAGUER,SEGRE,Gravedad y Materiales sueltos homogenea,1958,42.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Artesa de Segre', 'Llimiana', 'Os de Balaguer', 'Mollerussa', 'Lleida']",0.82790391359223,41.837363890685
biscarrues,0,0,192,0,0,Ebro,Huesca,"BISCARRUES, STA. EULALIA GALLEGO",GALLEGO,Materiales sueltos núcleo arcilla,2010,923.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Bailo', 'Ejea de los Caballeros', 'Castejon de Valdejasa', 'Almudévar', 'Huesca']",-0.754505,42.192153
bolaso,0,0,0,0,0,Ebro,Zaragoza,EJEA DE LOS CABALLEROS,ARBA DE LUESIA,Materiales sueltos homogenea,1949,19.65 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Sos del Rey Católico', 'Cáseda', 'Bardenas Reales', 'Ejea de los Caballeros', 'Castejon de Valdejasa']",-1.1817903637115,42.183045880216
boren,0,0,1,0,0,Ebro,Lleida,ALT ANEU,NOGUERA PALLARESA,Gravedad,0,11.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"[""Esterri d'Àneu"", 'Port Ainè', 'Torre de Cabdella', 'Vall de Boí', 'Naut Aran, Arties']",1.0884763507354,42.657561710158
bramatuero-inferior,0,0,1,0,0,Ebro,Huesca,PANTICOSA,CALDARES,Gravedad,1957,14.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Sallen de Gallego', 'Panticosa', 'Biescas', 'Parador Ordesa', 'Torla - Ordesa']",-0.19348053511154,42.793467247643
bramatuero-superior,0,0,5,0,0,Ebro,Huesca,PANTICOSA,CALDARES,Gravedad,1961,29.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Sallen de Gallego', 'Panticosa', 'Biescas', 'Parador Ordesa', 'Torla - Ordesa']",-0.21214657242463,42.793467247643
brazato,0,0,3,0,0,Ebro,Huesca,PANTICOSA,CALDARES,Gravedad,1942,22.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Sallen de Gallego', 'Panticosa', 'Biescas', 'Parador Ordesa', 'Torla - Ordesa']",-0.20602941956313,42.75279733457
cabriana,0,0,5,0,0,Ebro,Burgos,MIRANDA DE EBRO,EBRO,Gravedad,1959,1.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Lalastra', 'Miranda de Ebro', 'Vitoria Gasteiz Aeropuerto', 'Haro', 'Labastida']",-2.9791831970214843,42.703379760962484
camino-erentxun,0,0,0,0,0,Ebro,Alava,ALEGRÍA-DULANTZI,BARRANCO/ DEPOSITO DE ALEGRÍA,Materiales sueltos homogenea,0,0.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Legazpia', 'Aramaio', 'Aretxabaleta', 'Agurain/Salvatierra', 'Campezo/Kanpezu']",-2.491321563720703,42.854322995932605
canal-roya,0,0,0,0,0,Ebro,Huesca,CANFRANC,CANAL ROYA,Gravedad,1967,1.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Astún - La Raca', 'Canfranc', 'Aragüés del Puerto', 'Sallent de Gállego - Formigal', 'Biescas']",-0.5044072452956,42.777252011505
canfranc,0,0,1,0,0,Ebro,Huesca,CANFRANC,ARAGON,Contrafuertes,1968,6.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Astún - La Raca', 'Canfranc', 'Jaca', 'Aragüés del Puerto', 'Sallent de Gállego - Formigal']",-0.51994988614102,42.740039854104
canas,0,0,1,0,0,Ebro,Navarra,VIANA,,Materiales sueltos homogenea,0,100.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Leza', 'Cenicero', 'Logroño Aeropuerto', 'Los Arcos', 'Campezo/Kanpezu']",-2.4037585902216,42.488379785851
carcastillo,0,0,5,0,0,Ebro,Navarra,CARCASTILLO,BARRANCO DE LA PORTILLADA,Materiales sueltos núcleo arcilla,0,75.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Sos del Rey Católico', 'Cáseda', 'Olite/Erriberri', 'Alfaro la Plana', 'Bardenas Reales']",-1.4333474505148,42.366876157683
cardet-llesp,0,0,0,0,0,Ebro,Lleida,DURRO Y BARRUERA,NOGUERA DE TOR,Gravedad,1953,13.96 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Torre de Cabdella', 'Vall de Boí', 'Sopeira', 'Cerler - Cogulla', 'Naut Aran, Arties']",0.79109582559992,42.500383939597
cereceda,0,0,1,0,0,Ebro,Burgos,OÑA,EBRO,Gravedad,1947,35.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Balmaseda', 'Soba, Alto Miera', 'Briviesca', 'Medina de Pomar', 'Lalastra']",-3.4738278289869,42.793566719341
chimo,0,0,0,0,0,Ebro,Lleida,AITONA,CANAL DE SEROS,Materiales sueltos homogenea,1915,5.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Lleida', 'El Soleràs', 'Ballobar', 'Fraga', 'Cabacés']",0.4845142364501953,41.475788815229826
cienfuens,0,0,1,0,0,Ebro,Huesca,"NUENO, SABAYES",FLUMEN,Gravedad,1908,9.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Jaca', 'Sabiñánigo', 'Almudévar', 'Huesca Aeropuerto', 'Huesca']",-0.35551932849619,42.295743729044
cillaperlata,0,0,2,0,0,Ebro,Burgos,CILLAPERLATA,EBRO,Gravedad,1956,59.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Amurrio', 'Briviesca', 'Medina de Pomar', 'Lalastra', 'Belorado']",-3.3667526298228,42.779686126767
colomina,0,0,4,0,0,Ebro,Lleida,"TORRE DE CABDELLA, LA",FLAMISELL,Gravedad,1914,15.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"[""Esterri d'Àneu"", 'Port Ainè', 'Torre de Cabdella', 'Vall de Boí', 'Naut Aran, Arties']",1.0033414144156,42.523191166121
cornago,0,0,1,0,0,Ebro,La Rioja,CORNAGO,REGAJO,Arco Gravedad,1990,4.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Ólvega', 'Enciso', 'Alfaro', 'San Pedro Manrique', 'Alfaro la Plana']",-2.1124536916768,42.04757973061
cubieso,0,0,4,0,0,Ebro,Lleida,"TORRE DE CABDELLA, LA",FLAMISELL,Gravedad,1930,40.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"[""Esterri d'Àneu"", 'Port Ainè', 'Torre de Cabdella', 'Vall de Boí', 'Naut Aran, Arties']",0.97356633890759,42.540408834695
del-gallego,0,0,6,0,0,Ebro,Huesca,SALLENT DE GALLEGO,GALLEGO,Gravedad,1955,5.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Astún - La Raca', 'Sallent de Gállego - Formigal', 'Sallen de Gallego', 'Panticosa', 'Biescas']",-0.36095441215984,42.773133492253
el-cortijo,0,0,1,0,0,Ebro,La Rioja,"LOGROÑO, OYON",EBRO,Gravedad,1922,38.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Nájera', 'Leza', 'Cenicero', 'Logroño Aeropuerto', 'Campezo/Kanpezu']",-2.5280030418093,42.487382777956
el-ferial,0,0,8,0,0,Ebro,Navarra,VALTIERRA (VEDADO DE EGUARAS),AYO. AGUAS SALADAS,Materiales sueltos núcleo arcilla,1992,72.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Olite/Erriberri', 'Alfaro', 'Alfaro la Plana', 'Bardenas Reales', 'Tudela']",-1.5807990825706,42.290445357243
el-molino-elburgo,0,0,0,0,0,Ebro,Alava,ELBURGO,AÑUA,Materiales sueltos homogenea,0,5.61 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Aramaio', 'Aretxabaleta', 'Agurain/Salvatierra', 'Vitoria Gasteiz Aeropuerto', 'Campezo/Kanpezu']",-2.534923553466797,42.8587902409659
escuriza,0,0,5,0,0,Ebro,Teruel,ALLOZA,ESCURIZA,Arco Gravedad,1896,38.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Muniesa', 'Montalbán', 'Hijar', 'Andorra', 'Castellote']",-0.59411233572584,40.950054345251
estanca-perdiguero,0,0,3,0,0,Ebro,La Rioja,CALAHORRA,CIDACOS,Materiales sueltos homogenea,1880,46.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Los Arcos', 'Larraga', 'Alfaro', 'San Pedro Manrique', 'Alfaro la Plana']",-1.9771957397460937,42.28746890196626
estany-gento,0,0,3,0,0,Ebro,Lleida,"TORRE DE CABDELLA, LA",FLAMISELL,Gravedad,1914,28.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"[""Esterri d'Àneu"", 'Port Ainè', 'Torre de Cabdella', 'Vall de Boí', 'Naut Aran, Arties']",1.0037140210549,42.511490678913
estos,0,0,0,0,0,Ebro,Huesca,BENASQUE,ESTOS,Gravedad,1970,3.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Vall de Boí', 'Benasque', 'Cerler - Cogulla', 'Seira', 'Bossost']",0.53928181162617,42.634199247816
flix,0,0,11,0,0,Ebro,Tarragona,FLIX,EBRO,Gravedad,1948,320.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['El Soleràs', 'Horta de Sant Joan', 'La Pobla de Massaluca', 'Cabacés', 'Rasquera']",0.54196490442294,41.234023876789
fosse,0,0,1,0,0,Ebro,Lleida,"TORRE DE CABDELLA, LA",FLAMICELL,Gravedad y mampostería,1915,0.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"[""Esterri d'Àneu"", 'Port Ainè', 'Torre de Cabdella', 'Vall de Boí', 'Naut Aran, Arties']",0.97916614884586,42.517814301048
francis,0,0,0,0,0,Ebro,Lleida,"TORRE DE CABDELLA, LA",FLAMIcELL,Gravedad,1915,0.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"[""Esterri d'Àneu"", 'Torre de Cabdella', 'Vall de Boí', 'Sopeira', 'Naut Aran, Arties']",0,0
