Embalse,Agua embalsada (08-04-2024):hm3,Variacion semana Anterior:hm3,Capacidad:hm3,Misma Semana (2023):hm3,Misma Semana (Med. 10 Años):hm3,Cuenca:,Provincia:,Municipio Presa:,Rio:,Tipo de Presa:,Año de construccion (Final):,Superficie:,Localizacion:,Abastecimiento:,Riego:,Electricidad:,Industrial:,Pesca:,Navegación:,Baño:,Pic-nic:,Restaurantes:,Pluviometros,Longitud,Latitud
garganta-del-obispo,0,0,0,0,0,Tajo,Caceres,PIORNAL,GARGANTA DEL OBISPO,Gravedad,1995,1.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Garganta de la Olla', 'Hervás', 'Tornavacas', 'Piornal', 'Plasencia']",-5.8577728271484375,40.09809932102887
garganta-eliza,0,0,0,0,0,Tajo,Avila,LANZAHITA,ELIZA (GARGANTA ELIZA),Gravedad,1983,2.75 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Navarredonda de Gredos', 'Puerto El Pico', 'Castillo de Bayuela', 'Talavera de la Reina', 'Oropesa']",-4.936637878417969,40.221223193654985
garguera,0,0,3,0,0,Tajo,Caceres,TEJADA DE TIETAR,GARANTA DE GARGUERA,Materiales sueltos homogenea,1911,60.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Garganta de la Olla', 'Serradilla', 'Hervás', 'Piornal', 'Plasencia']",-5.8925215364077,39.978692279551
granjilla-1,0,0,0,0,0,Tajo,Madrid,SAN LORENZO DE EL ESCORIAL,AULENCIA,Materiales sueltos y mampostería,1660,7.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['San Rafael', 'Puerto Alto del León', 'Alpedrete', 'Valdemorillo', 'Villanueva de la Cañada']",-4.115409851074219,40.57432635193039
guatel,0,0,0,0,0,Tajo,Madrid,EL ESCORIAL,ARROYO DEL GUATEL PRIMERO,Gravedad,1992,0.15 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Puerto de Navacerrada', 'San Rafael', 'Puerto Alto del León', 'Alpedrete', 'Valdemorillo']",-4.067834072542,40.635649314335
helechal,0,0,0,0,0,Tajo,Caceres,ALCANTARA,ARROYO HELECHAL,Gravedad,1965,5.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Coria', 'Hoyos', 'Zarza La Mayor', 'Valverde del Fresno', 'Brozas']",-6.8985982656674,39.851604473668
hervas,0,0,0,0,0,Tajo,Caceres,HERVAS,AYO. DEL POSTURILLO,Gravedad,1991,3.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['La Covatilla', 'Garganta de la Olla', 'Hervás', 'Tornavacas', 'Piornal']",-5.8223974909559,40.271011956978
ibahernando,0,0,0,0,0,Tajo,Caceres,SANTA ANA,GIBRANZOS,Gravedad,1980,21.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Jaraicejo', 'Trujillo', 'Trujillo', 'Zorita', 'Alcuescar']",-5.9650339669628,39.336384135038
jaraiz-de-la-vera,0,0,2,0,0,Tajo,Caceres,GARGANTA LA OLLA,AYO. VEGUILLAS,Materiales sueltos P hormigón,1996,166.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Navalmoral de la Mata', 'Garganta de la Olla', 'Hervás', 'Tornavacas', 'Piornal']",-5.7416767083221,40.012988461911
jetreros---salorino,0,0,0,0,0,Tajo,Caceres,SALORINO,JETREROS,Gravedad,1977,7.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Zarza La Mayor', 'Aliseda', 'Brozas', 'Valencia de Alcántara', 'Alburquerque']",-7.076654434204102,39.47237784180402
la-bujeda,0,0,7,0,0,Tajo,Guadalajara,ALMONACID DE ZORITA,SIN NOMBRE DEFINIDO,Materiales sueltos homogenea,1976,55.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Pastrana', 'Tarancón', 'Guadalajara', 'Alcázar del Rey', 'Villares del Saz']",0,0
la-cerquilla,0,0,0,0,0,Tajo,Toledo,"CALZADA DE OROPESA, LA",JULIAN (ARROYO DE SAN JULIAN),Gravedad,1962,8.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Navarredonda de Gredos', 'Candeleda', 'Madrigal de la Vera', 'Oropesa', 'Navalmoral de la Mata']",0,0
la-cumbre,0,0,0,0,0,Tajo,Caceres,"CUMBRE, LA",MAGASQUILLA (ARROYO MAGASQUILLA),Gravedad,1970,6.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Jaraicejo', 'Trujillo', 'Trujillo', 'Zorita', 'Alcuescar']",-5.9317643489799,39.40073725302
la-elipa,0,0,1,0,0,Tajo,Toledo,"CALZADA DE OROPESA, LA",SIN RIO,Materiales sueltos homogenea,1981,13.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Puerto El Pico', 'Candeleda', 'Madrigal de la Vera', 'Oropesa', 'Navalmoral de la Mata']",0,0
la-encinilla,0,0,0,0,0,Tajo,Madrid,GUADARRAMA,ENCINILLA (ARROYO ENCINILLA),Gravedad,1964,0.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Puerto de Navacerrada', 'San Rafael', 'Puerto Alto del León', 'Alpedrete', 'Valdemorillo']",-4.112362861633301,40.67949893869203
la-ermita,0,0,3,0,0,Tajo,Guadalajara,TRILLO,TAJO,Gravedad,1985,6.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Zaorejas', 'Pastrana', 'Sigüenza', 'Mandayona', 'Brihuega']",-2.6007575853884,40.697462118854
la-grena,0,0,0,0,0,Tajo,Caceres,BROZAS,RIVERA DE LA MATA,Contrafuertes,1795,8.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Cáceres', 'Cañaveral', 'Zarza La Mayor', 'Aliseda', 'Brozas']",0,0
la-hinchona,0,0,1,0,0,Tajo,Avila,"TIEMBLO, EL",YEDRA,Arco Gravedad,1946,20.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Ávila', 'Rozas de Puerto Real', 'Cebreros', 'Robledo de Chavela', 'Sotillo de la Adrada']",-4.5064945490594,40.385637647938
la-jarallana,0,0,1,0,0,Tajo,Caceres,TORREJON EL RUBIO,AYO. DEL CURA,Materiales sueltos homogenea,1980,0.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Serradilla', 'Jaraicejo', 'Trujillo', 'Cañaveral', 'Plasencia']",-6.0475085147761,39.739371284641
la-maside,0,0,0,0,0,Tajo,Caceres,ALDEANUEVA DEL CAMINO,HORNACINOS,Gravedad y Materiales sueltos homogenea,1908,5.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Garganta de la Olla', 'Guijo de Granadilla', 'Hervás', 'Piornal', 'Plasencia']",-5.9583211506013,40.281485368595
la-pesga,0,0,0,0,0,Tajo,Caceres,CAMINOMORISCO,AYO. CAPALLAR,Gravedad,1997,0.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['El Maíllo', 'Nuñomoral', 'Guijo de Granadilla', 'Montehermoso', 'Torrecilla de los Angeles']",0,0
la-solana,0,0,0,0,0,Tajo,Caceres,HERRERA DE ALCANTARA,CABRIOSO,Gravedad,1955,"11,810.00 ha",Ver Mapa,False,False,False,False,False,False,False,False,False,"['Zarza La Mayor', 'Aliseda', 'Brozas', 'Valencia de Alcántara', 'Alburquerque']",-7.416801452636719,39.61861504436823
la-tosca,0,0,3,0,0,Tajo,Cuenca,SANTA MARIA DEL VALLE,CUERVO,Arco Gravedad,1964,50.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Molina de Aragón', 'Zaorejas', 'Beteta', 'Cañizares', 'Cuenca']",-2.0505148025185,40.511822327172
la-vid,0,0,0,0,0,Tajo,Caceres,TORREJON EL RUBIO,VID,Presa móvil,1953,1.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Serradilla', 'Jaraicejo', 'Trujillo', 'Trujillo', 'Plasencia']",-5.9413989454441,39.752894900829
labros,0,0,0,0,0,Tajo,Toledo,ALMOROX,LABROS,Gravedad,1980,2.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Rozas de Puerto Real', 'Cebreros', 'Robledo de Chavela', 'Castillo de Bayuela', 'Sotillo de la Adrada']",-4.3808996603054,40.275496129765
las-fraguas,0,0,1,0,0,Tajo,Caceres,TALAYUELA,AYOS. FRESNEDOSO Y PARRILLA (Frenedoso),Gravedad,1988,43.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Candeleda', 'Madrigal de la Vera', 'Navalmoral de la Mata', 'Garganta de la Olla', 'Tornavacas']",-5.4941949236119,39.972820754558
las-machucas,0,0,0,0,0,Tajo,Caceres,COLLADO DE LA VERA,MACHUCAS,,1979,2.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Navalmoral de la Mata', 'Garganta de la Olla', 'Hervás', 'Tornavacas', 'Piornal']",-5.7296168822806,40.048404444279
las-navas-del-marques,0,0,2,0,0,Tajo,Avila,"LAS NAVAS DEL MARQUES, PEGUERINOS",AYO. VALTRAVIES,Gravedad,2008,0.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['San Rafael', 'Puerto Alto del León', 'Cebreros', 'Robledo de Chavela', 'Valdemorillo']",-4.3004608154296875,40.63805550673186
las-nieves,0,0,0,0,0,Tajo,Madrid,GALAPAGAR,GUADARRAMA,Gravedad,1977,5.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Puerto de Navacerrada', 'Puerto Alto del León', 'Alpedrete', 'Valdemorillo', 'Villanueva de la Cañada']",-3.9897722447341,40.610580144078
